"locus"	"group"
"85"	"sim25417"	"GENE33"
"86"	"sim25418"	"GENE34"
"87"	"sim25419"	"GENE35"
"88"	"sim25448"	"GENE36"
"89"	"sim25449"	"GENE37"
"90"	"sim25463"	"GENE38"
"91"	"sim25493"	"GENE39"
"92"	"sim25499"	"GENE40"
"93"	"sim25510"	"GENE41"
"94"	"sim25514"	"GENE42"
"95"	"sim25541"	"GENE43"
"96"	"sim25548"	"GENE44"
"97"	"sim25610"	"GENE45"
"98"	"sim25615"	"GENE46"
"99"	"sim25629"	"GENE47"
"100"	"sim25662"	"GENE48"
"101"	"sim25673"	"GENE49"
"102"	"sim25681"	"GENE50"
"103"	"sim25692"	"GENE51"
"104"	"sim25696"	"GENE52"
"105"	"sim25732"	"GENE1"
"106"	"sim25754"	"GENE2"
"107"	"sim25756"	"GENE3"
"108"	"sim25758"	"GENE4"
"109"	"sim25774"	"GENE5"
"110"	"sim25778"	"GENE6"
"111"	"sim25783"	"GENE7"
"112"	"sim25792"	"GENE8"
"113"	"sim25797"	"GENE9"
"114"	"sim25806"	"GENE10"
"115"	"sim25833"	"GENE11"
"116"	"sim25844"	"GENE12"
"117"	"sim25856"	"GENE13"
"118"	"sim25885"	"GENE14"
"119"	"sim25905"	"GENE15"
"120"	"sim25927"	"GENE16"
"121"	"sim25939"	"GENE17"
"122"	"sim25982"	"GENE18"
"123"	"sim25984"	"GENE19"
"124"	"sim26000"	"GENE20"
"125"	"sim26109"	"GENE21"
"126"	"sim26122"	"GENE22"
"127"	"sim26153"	"GENE23"
"128"	"sim26198"	"GENE24"
"129"	"sim26298"	"GENE25"
"130"	"sim26410"	"GENE26"
"131"	"sim26586"	"GENE27"
"132"	"sim26681"	"GENE28"
"133"	"sim26733"	"GENE29"
"134"	"sim26823"	"GENE30"
"135"	"sim26827"	"GENE31"
"136"	"sim26939"	"GENE32"
"137"	"sim26940"	"GENE33"
"138"	"sim26986"	"GENE34"
"139"	"sim27014"	"GENE35"
"140"	"sim27056"	"GENE36"
"141"	"sim27119"	"GENE37"
"142"	"sim27174"	"GENE38"
"143"	"sim27909"	"GENE39"
"144"	"sim27967"	"GENE40"
"145"	"sim28047"	"GENE41"
"146"	"sim28716"	"GENE42"
"147"	"sim28797"	"GENE43"
"148"	"sim28927"	"GENE44"
"149"	"sim29737"	"GENE45"
"150"	"sim30253"	"GENE46"
"151"	"sim30258"	"GENE47"
"152"	"sim33210"	"GENE48"
"153"	"sim37731"	"GENE49"
"154"	"sim39937"	"GENE50"
"155"	"sim43438"	"GENE51"
"156"	"sim46158"	"GENE52"
